Name,URL,Remote Testing,Adaptive/IRT,Test Types,Job Level,Completion Time,Languages,Description,context
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes Remote Testing,Yes IRT,"Competencies, Personalities and behavior, Ability and aptitude, Biodata and situational Judgement","Mid-Professional,",Approximate Completion Time in minutes = 49,"English (USA),","The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","passage: Account Manager Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Competencies, Personalities and behavior, Ability and aptitude, Biodata and situational Judgement | Job Level: Mid-Professional, | Completion Time: Approximate Completion Time in minutes = 49 | Languages: English (USA), | Description: The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available."
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Knowledge and Skills, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 36,"English (USA),","The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","passage: Administrative Professional - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Knowledge and Skills, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 36 | Languages: English (USA), | Description: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate."
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"English (USA),","The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","passage: Agency Manager Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 51 | Languages: English (USA), | Description: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available."
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Personalities and behavior","General Population, Graduate, Entry-Level,",Approximate Completion Time in minutes = 30,"English International, German,","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","passage: Apprentice + 8.0 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Personalities and behavior | Job Level: General Population, Graduate, Entry-Level, | Completion Time: Approximate Completion Time in minutes = 30 | Languages: English International, German, | Description: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions."
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Personalities and behavior","Entry-Level, General Population, Graduate,",Approximate Completion Time in minutes = 20,"English International, German, French,","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","passage: Apprentice 8.0 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, General Population, Graduate, | Completion Time: Approximate Completion Time in minutes = 20 | Languages: English International, German, French, | Description: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions."
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","passage: Bank Administrative Assistant - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 35 | Languages: English (USA), | Description: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available."
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 45,"English (USA),","This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","passage: Bank Collections Agent - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 45 | Languages: English (USA), | Description: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available."
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 45,"English (USA),","The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","passage: Bank Operations Supervisor - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 45 | Languages: English (USA), | Description: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available."
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Personalities and behavior, Simulations, Ability and aptitude","Entry-Level,",Approximate Completion Time in minutes = 43,"English (USA), Latin American Spanish,","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","passage: Bilingual Spanish Reservation Agent Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Personalities and behavior, Simulations, Ability and aptitude | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 43 | Languages: English (USA), Latin American Spanish, | Description: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available."
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes Remote Testing,Yes IRT,"Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude","Entry-Level,",Approximate Completion Time in minutes = 49,"English (USA),","The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","passage: Bookkeeping, Accounting, Auditing Clerk Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 49 | Languages: English (USA), | Description: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk."
